	semana	hora	hexdelay
0	atual	0	149
1	atual	1	263
2	atual	2	77
3	atual	3	93
4	atual	4	83
5	atual	5	89
6	atual	6	2664
7	atual	7	14932
8	atual	8	9458
9	atual	9	4028
10	atual	10	4385
11	atual	11	8901
12	atual	12	8590
13	atual	13	15308
14	atual	14	9541
15	atual	15	8203
16	atual	16	8232
17	passada	0	880
18	passada	1	454
19	passada	2	138
20	passada	3	318
21	passada	5	77
22	passada	6	660
23	passada	7	5325
24	passada	8	6694
25	passada	9	6761
26	passada	10	8042
27	passada	11	10706
28	passada	12	3884
29	passada	13	7998
30	passada	14	6448
31	passada	15	9566
32	passada	16	12317
33	passada	17	21725
34	passada	18	24171
35	passada	19	19040
36	passada	20	6012
37	passada	21	4020
38	passada	22	2671
39	passada	23	606
